,index,아이디,조사 시작시간,조사 종료시간,병원 코드,진료과 코드,의사 코드,병동 코드,NPS,VOC,label
19,21,R7da688b3ece546b089e,2025-03-08 00:42:07,2025-03-08 00:47:45,34520929,001202,,,10,지인소개로내원직원분들이 넘친절하고 자세한설명,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,22,R0002025030659073000,2025-03-08 00:42:24,2025-03-08 00:48:44,31100651,0400,1719361108679930,,9,신속 정확 빠른 대응,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,22,R0002025030659073000,2025-03-08 00:42:24,2025-03-08 00:48:44,31100651,0400,1719361108679930,,9,Good,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,25,Rc12e65ee3e5647a0b28,2025-03-08 00:55:10,2025-03-08 01:08:39,34100041,1300,1739427829765039,,7,전반적으로 깨끗하고교통도 편리해서 좋아요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,26,R0002025048582430307,2025-03-08 00:52:28,2025-03-08 01:10:32,11101270,0600,1739247395908356,111012700008,6,전체적으로 좋습니다 개선점은 없습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,27,R1b0905bd9e0b4c36b29,2025-03-08 01:10:37,2025-03-08 01:20:50,31574564,001201,940002,,10,원장님 윤창근쌤님과 김흥렬 이사님의 친절하고 따뜻함에 맘이 편합니다 모든 의사분들과 간호사님들도 잘해주셔서 고맙습니다 모두들 감사합니다 ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,27,R1b0905bd9e0b4c36b29,2025-03-08 01:10:37,2025-03-08 01:20:50,31574564,001201,940002,,10,앖습나다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,34,R0002025030720260349,2025-03-08 01:38:40,2025-03-08 01:44:58,31100571,0109,3110057101090001,,0,친절하고상양하니까,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,35,R604a55de2d5740bdb04,2025-03-08 01:51:51,2025-03-08 01:58:53,32100035,0101,3210003501010004,,7,소화기내과진료에서초음파실가기가힘들었다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,36,R00020250307215033801,2025-03-08 02:01:48,2025-03-08 02:07:36,31101267,0101,24501010008,,10,소화기내과 안내에서 친절하게 안내해주셔서 감사했습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,38,R0002025030700150904,2025-03-08 01:58:24,2025-03-08 02:09:27,38100509,0103,1715129763531093,,10,진료 대기시간이 길지 않아서 좋았슴니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,40,Rd7a65a367552480d874,2025-03-08 02:36:07,2025-03-08 02:41:23,34520902,001202,1330005,,6,파모라마 X ray 촬영시 어께에 걸치는 납조끼 사용했으면 합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,44,R9537cba1f4ed47198ab,2025-03-08 02:40:26,2025-03-08 02:51:56,37524208,001201,1910002,,8,지나다니는 통로가 좁아서 조금 복잡하게 느껴졌습니다 좀 더 넓게 되있으면 지나다니기도 편하고 보기도 깔끔해보이지 않을까 합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,44,R9537cba1f4ed47198ab,2025-03-08 02:40:26,2025-03-08 02:51:56,37524208,001201,1910002,,8,카운터 직원분과 차지영 선생님 바쁘신 와중에도 상담도 친절하게 잘해주시고 꼼꼼하게 설명해주셔서 좋았습니다 바쁘면 놓칠 수 있는 인사도 끝까지 잘해주시고 환자를 인간적으로 존중한다는 느낌이 들어 좋았습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,46,R0002025030503764277,2025-03-08 02:40:15,2025-03-08 02:59:01,36100013,2200,3610001322000003,,10,우리같은 일반환자도 진료를 받을수 있다면 좋겠어요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,46,R0002025030503764277,2025-03-08 02:40:15,2025-03-08 02:59:01,36100013,2200,3610001322000003,,10,환자수가많아서 복잡할거라고 왠만하면 해피했는데이번에가보니 분야별로 잘 편리하게 좋았어요 감사 했읍니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,47,Rc498cc7a437843dabc0,2025-03-08 02:56:30,2025-03-08 03:03:53,32100035,0103,3210003501030008,,9,대기시간이 길다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,50,R0002025030507803200,2025-03-08 03:10:13,2025-03-08 03:15:08,31100651,0600,1719360975494304,,5,힐체어관련 너무친절하시고 온정성을다해 잘 대해주셨읍니다 다시감사드립니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,51,R9f49d146cc0b4480bbb,2025-03-08 03:16:58,2025-03-08 03:26:12,21100021,1300,2110002113000011,,10,친절함에 감사드립니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,52,R0002025010900069324,2025-03-08 03:19:29,2025-03-08 03:29:56,38100509,0433,1715129188724096,,8,깨끗하고 주위환경이 넓어서 좋아요 친절하고 빠른진료 로 흡족합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,53,Ra8f7553b042c4a17a50,2025-03-08 03:19:12,2025-03-08 03:31:26,11101016,0200,1739777162578480,,8,뇌신경검사실 남자직원 아주 불친절해서 20년넘게 다니던 병원이지만 다시는 가고싶지않아 다음 예약 하지않고왔습니다 다른병원 찾아봐야겠네요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,53,Ra8f7553b042c4a17a50,2025-03-08 03:19:12,2025-03-08 03:31:26,11101016,0200,1739777162578480,,8,김병건선생님 칭찬합니다 뇌신경검사실 남자선생님 너무너무 불친절 합니다 환자 보호자 앞에서 한숨 팍팍쉬고 환자나 보호자 말에 귀귀울이지않고 딱잘라 자기말만하고 선생님 자격이 없습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,60,Re1cc148e4da1439bb5c,2025-03-08 04:08:42,2025-03-08 04:17:40,37100351,0100,1731313139458872,,8,관내여러기관과 의료 서비스협약을 맺은걸로 알고 있는데 고러한관계를 확인해 중면 좋겠다 관계기관과 협약서비스에 대해서알려주면좋겠다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,63,R0002025030502365544,2025-03-08 04:21:24,2025-03-08 04:32:54,11100184,0200,1732173966465319,,7,15년동안 내원했는데 내가 원했던 부분의 진료나 검사하기위한 방법이나시설에 불편한 점은 없었습니다 담당의사김희진 선생님은 나의 병증에 최선을 다 해서 관찰 치료를 해 주셨습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,64,R000202502279109820000,2025-03-08 04:28:46,2025-03-08 04:33:14,36400017,001217,,,10,구강내과,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,65,R0002025030691644742,2025-03-08 04:38:08,2025-03-08 04:43:46,11100231,,,,,환자 처리를 좀더 신속히 하여주세요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,66,R0002025030611092323,2025-03-08 04:34:38,2025-03-08 04:44:34,31100511,0112,3110051101120001,,10,항상 고마워요 병원임직원 여러분,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,70,R08cf0f4b7737443aa5e,2025-03-08 04:38:25,2025-03-08 05:04:14,21100021,0500,2110002105000010,,0,의사의 불친절한 태도가 다시는 이 병원을 가기 싷게 한다 환자가 물어 보는 말에 짜증을 내고 두번 말하는것이 싫다는 의사가 있는게 말이 안된다 환자가 물어보면 두번 세번이라도 대답해 줘야 되는 것이지 의사가 지는 성질이 더러워서 두번 얘기를 안한다는게 말이가 더러운 새끼다 그렇게해서 환자가 무서워서 어떻게 의사를 대화할수도 없는게 아닌가 참으로 웃긴 다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,70,R08cf0f4b7737443aa5e,2025-03-08 04:38:25,2025-03-08 05:04:14,21100021,0500,2110002105000010,,0,의사가 환자한테 권위적이고 환자의 말은 전혀 들어주지 않는 아주 불쾌한 의사를 만나서 다시는 부산대학교 병원은 오기 싫어 졌다 다른 부분에서는 시설은 괞찮은데 의사가 문제가 많은 의사가 있는것이 다시는 가고 싶지 않다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,72,R0002025030702796928,2025-03-08 05:19:14,2025-03-08 05:29:39,11100184,0105,1732174060185064,,10,교수님의치절한설명,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,73,R0002025020423537964,2025-03-08 05:22:44,2025-03-08 05:38:22,36100013,0200,3610001302000006,,10,조금 복잡 합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,73,R0002025020423537964,2025-03-08 05:22:44,2025-03-08 05:38:22,36100013,0200,3610001302000006,,10,광주에서는 제일 좋은 병원이라고 생각 합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,74,R0000020250306190703,2025-03-08 05:20:23,2025-03-08 05:38:55,36100021,0101,3610002101010010,,10,전에 피부과 김민성 교수 진료료를 받았는데 교수도 친절이 최고이고 간호사는 더 친절해 절대적인 친절간호사 로 추천드립니다 감사합니다 ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,76,R0002025030720469923,2025-03-08 05:38:41,2025-03-08 05:51:15,31100571,1500,3110057115000003,,5,병원건물이 오래되어 어딘지 모르게 체계적이지 않고 어수선해 보입니다 간호사님도 전문적이지 않아보이고 그냥 동내 준병원 낡은 이미지 ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,76,R0002025030720469923,2025-03-08 05:38:41,2025-03-08 05:51:15,31100571,1500,3110057115000003,,5,정말 생각해도 별로 없슴,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,77,R0002025030708041033,2025-03-08 05:23:16,2025-03-08 05:54:34,21100632,0101,2110063201010002,,5,어지러워서 정신없이 내원했는데 신경과선생님께서 너무 친절하게 설명해주셨어 정말 감사했습니다 내과에도 검사하고 진료받았는데 선생님께서 너무 취조하듯이 앞전에 검사핸 날짜 확실이 기억을 못하니 죄인 다루듯 너무 기분이 불쾌했습니다 몆년동안 검사한 시기 기억못할수도 있고 년도도 틀리수도 있지 더더구나 어지러워서 정신없이 찾아갔는데 수치심을 느낄만큼 기분 나빠습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,77,R0002025030708041033,2025-03-08 05:23:16,2025-03-08 05:54:34,21100632,0101,2110063201010002,,5,내과 선생님 외는 모던분들께서 도움 주셨어 감사했습니다 김정방홍보이사님 정말 감사했습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,79,R0002025105837490307,2025-03-08 05:53:42,2025-03-08 05:58:38,11101270,0500,1110127005000001,111012700012,10,제 생각으로는 대체적으로 만족했어요 특별히 개선할점은 느끼지 못했습니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,81,R9992025030690000459,2025-03-08 05:48:36,2025-03-08 06:00:30,33100128,0104,3310012801040006,,,모든면에서 친절하고성의가 있었다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,82,R79c186a57317473794a,2025-03-08 05:59:09,2025-03-08 06:06:21,21100021,0102,2110002101020010,,10,없는것같아요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,82,R79c186a57317473794a,2025-03-08 05:59:09,2025-03-08 06:06:21,21100021,0102,2110002101020010,,10,담당자님 친절하게 대한다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,83,R1134911444,2025-03-08 06:02:48,2025-03-08 06:07:39,34100016,0106,3410001601060005,,9,진료받는 대기시간이 길어요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,84,R2025030601658776,2025-03-08 06:03:17,2025-03-08 06:09:25,11100249,0102,1110024901020002,,10,진료 예약자의 당일 수납은 번호표를 뽑지 않아도 주민등록번호로 수납이 가능했으면 합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,87,2025030310070297,2025-03-08 06:06:44,2025-03-08 06:18:07,31100881,7008,1729230434166593,,9,성심으포 치료 해 주셔서 감사드리고 있읍니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,90,R0002025030700151551,2025-03-08 06:00:13,2025-03-08 06:20:56,38100509,0413,1715129647447375,,10,의사님과 간호사님 친절하고 해줘서 감사합니다 이수현박사님 수술잘해서 너무너무 감사합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,91,R746af3b265e24aa9be6,2025-03-08 06:36:10,2025-03-08 06:45:24,31588433,,1719559568299274,,10,전체적으로 친절치료에 성의 계속해주세요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,93,R1134575727,2025-03-08 06:38:15,2025-03-08 06:45:49,34100016,0105,3410001601050004,,10,교수님 감사드립니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,95,R0002025030613130893,2025-03-08 06:31:31,2025-03-08 06:48:25,36100013,1000,3610001310000008,,5,잘 하고 계시는데 아파을때 예약시간이 너무 깁니다 힘드실텐데 죄송합니다 조금한 빠른 배려 부탁합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,95,R0002025030613130893,2025-03-08 06:31:31,2025-03-08 06:48:25,36100013,1000,3610001310000008,,5,친절하게 잘 하고 계십니다 파이팅 하시게요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,98,R1135055685,2025-03-08 06:51:02,2025-03-08 06:52:56,34100016,,,,1,간호사들이 불친절해요 고쳐주세요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,98,R1135055685,2025-03-08 06:51:02,2025-03-08 06:52:56,34100016,,,,1,좋은점없음,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,101,R0002025030670189936,2025-03-08 06:54:58,2025-03-08 06:59:41,36100013,0200,3610001302000014,,8,주차장 진출입이 힘듭니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,104,R00020250307200620633,2025-03-08 06:57:43,2025-03-08 07:03:20,31101267,0111,24501010019,,10,김경희 과장님 늘 맑은 미소로 친절하게 진료 해주시니 너무 감사합니다 칭찬합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,128,R0002025030712265111,2025-03-08 07:04:04,2025-03-08 07:12:50,31100571,9900,3110057199000005,,10,매우친절합니다 걈사합니다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,130,R00020250307201300543,2025-03-08 07:08:16,2025-03-08 07:18:04,31100121,0111,24401070010,,9,옥외주차장너무협소하다 주차관리요원자주교체한다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,131,R2025030501030413,2025-03-08 07:15:04,2025-03-08 07:18:27,11100249,0200,1110024902000005,,5,친절하다 대기시간이길다,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,136,R0002025030621176270,2025-03-08 07:16:17,2025-03-08 07:21:13,11100231,1200,1110023112000002,111002310007,10,보험 제츨서류,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,141,R483738c4f732414da9e,2025-03-08 07:16:39,2025-03-08 07:25:29,32100035,1100,3210003511000003,,7,주차장 이용 너무 힘들어요 기리고수납시간이너무기다리는거이힘든니다개선해주세요,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
