no,VOC,pred,pred_수정
65,"좋은점은 잘 모르겠고 환자는 의사 진료와 신뢰가 중요한데 
처음 진료하는데
의사가 환자를 혼내는 기분이 들었음
자기를 찾아준 환자를 고맙게 생각하기는 마음은 전혀 없었음
내돈 내고 혼나는 느낌이라 아주 불쾌하고 마음이 아주 안 좋았음
처방은 받았으나 정말 이 의사를 신뢰해야하나 하는 의구심으로 다른 병원을 생각하게 됨",['의사_부정'],
71,모든 의료분들이 친절하시더군요.<BR/>,"['의사_긍정','간호사_긍정']",
74,"의사와직윈모두친절해서
즐겁게검진을받았슴니다",['의사_긍정'],"['의사_긍정','직원_긍정']"
76,모두 친절히 대해 주셨고 청결한 환경이였어요,"['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']",
78,환자는약해요.짧지만환자가알아들을수있도록친절한설명있으면하는바램입니다.,['진료경험(진료/투약/검사/회진)_부정'],
82,어깨 뒤쪽 수술이라 수면 시 불편함으로 베개를 하나 더 요구하였으나 환자 1인당 1개로 규정화돼 있어서 제공받지 못했습니다. <BR/>사실 어려운 부분이 아니라 생각했는데 매우 아쉬웠습니다. 어깨가 침대에 닿아서 잠을 잘 수가 없었는데 말이죠 <BR/>병원의 규정을 존중하나 이 부분에 대해서는 어느 정도융퉁성 과 현장 즉시 대응결정 부분에서는 소통이 부족하다고 생각합니다. <BR/>99% 잘해도 1% 때문에 아마추어가 되는 아이러니함,"['시설/환경_부정','진료경험(진료/투약/검사/회진)_부정']","['시설/환경_부정','병원시스템_부정']"
91,"의료진 모든 분들 고생이 많으십니다.
당신들이 계시기에 건강하게 살 수 있습니다.
감사합니다. 의료진 모든분들 건강조심하십시요. ","['의사_긍정','간호사_긍정']",
105,"전반적으로 검진환경이 깨끗하고, 일하시는 분들이 친절함","['시설/환경_긍정','직원_긍정']",
107,쾌적한 환경,['시설/환경_긍정'],
109,"최근 개보수로 접근성과 환경이 많이 좋아졌다


",['시설/환경_긍정'],
115,전철과 가깝고 에스컬레이더 시설이 매우 편리하게 되어있다,['시설/환경_긍정'],
119,주차장 이동을 위한 동선,['주차_부정'],
133,"의사가 환자  건강에 도움 되는 치료와 시술을 적극적으로 권유했고 도움이 되었다
간호사의 전문성과 체계성 차분함은 환자에게 도움
청소환경  안 좋음
치료나 처치과정에서  환자보다 병원직원 편의 우선으로 진행되며  의료인이 여유를 갖고 일 할 수 있도록 규정이나 체계 변화 필요","['의사_긍정','간호사_긍정','병원시스템_긍정']","['의사_긍정','간호사_긍정','시설/환경_부정','병원시스템_부정']"
135,안내해주시는분이친절하게 안내해 주셨어요,['직원_긍정'],
145,"첫 방문이었습니다
실력있는 선생님께 진료받는다는것에 대해 
무척 만족합니다",['의사_긍정'],
153,없음,[],
155,"깨끗하고 다들 친절한것이 좋습니다..
주차가 문제네요..","['시설/환경_긍정','주차_부정']","['시설/환경_긍정','진료경험(진료/투약/검사/회진)_부정','주차_부정']"
157,"친절한고객응대
깨끗한환경",['시설/환경_긍정'],"['진료경험(진료/투약/검사/회진)_긍정','시설/환경_긍정']"
159,환자의 마음을  헤아려 보살펴치료    감사하겠습니다 ,['진료경험(진료/투약/검사/회진)_긍정'],
163,"현제진료받아본 과에의사선생님들은
모두상냥하시고  궁금한사항을질문하고
상냥하게 대답을잘해주셨습니다",['의사_긍정'],
165,화장실 깨끗해서 좋았다,['시설/환경_긍정'],
171,산부인과 교수님과 실습의의 태도가 매우 공손하였다.,['의사_부정'],['의사_긍정']
173,수납및 안내절차는 좋음,['병원시스템_긍정'],['예약/접수/수납/입퇴원_긍정']
183,"제발 주차장 가는 엘베이터좀 해결 해주세요
내려가는걸 탈 수없어요 진짜 스트레스 받아요",['주차_부정'],
185,편합니다.,['시설/환경_긍정'],
187,"새로생긴 외부 에스컬레이터로 이동 할수있어 힘들지 않았다.진료실은 에스컬레이터를 사용 할수 있도록 하면 엘레베이터에서 대기하는 불편을 줄일수 있을것 같다.특히 본관은 진료실 찾기가 불편하다.원내수납,약국 찾기가 어렵다.
안내판을 좀더 연구해서 환자가 헷갈리지 않게 하든지 안내원을 더 보충 하든지 해야 할것 같다.
감사합니다.","['시설/환경_부정','병원시스템_부정']",
189,식당이나 커피숖등이 너무 좁음,['시설/환경_부정'],
191,담당교수님이 대단히 친절하시고 배려심이 크셔서 진료받을때마다 기분이 좋아집니다,['의사_긍정'],
195,알아듣게 설명을 잘해주셔서 이해하기쉬웠음니다 선생님들모두가친절하셔서고맙슴니다  불편한건 휴게실이좁구 상태가좀~~~~,"['의사_긍정','시설/환경_부정']",
198,네,[],
199,남편이 한국어를 잘 못하는데 응급실에 도착하니 미리 영어가 가능한 의사선생님께서 오셔서 아주 자세하게 현재까지의 상황과 진행상황을 알려주셔서 너무 감사했습니다. ,['의사_긍정'],
211,담당의사님에 친절함,['의사_긍정'],
216,애기가 울때 의사선생님이 공감해주고 달래주었습니다,['의사_긍정'],
222,"에스카레이터시설만족합니다
다만 휠체어를 간혹 이용하는 분들의 경우
보호자가 언덕을 밀고 오를때
힘들어하는것을 본적있는데
대책이 필요한듯 합니다
새로 증축한뒤 들렸는데 모든게 만족합니다
고대안암병원가족모두들 건강하시고
무궁한 발전을 기원합니다
수고하십시요","['시설/환경_부정','시설/환경_긍정','병원시스템_부정']","['시설/환경_부정','시설/환경_긍정']"
224,"X선, CT촬영을 할때 환자가 이동하지 않고 촬영할 수 있게 해서 편리했습니다. 다만 주차장과의 거리가 멀어 보호자가 환자를 혼자 두고 다녀와야 되는 상황이어서 불편했습니다. 감사합니다","['진료경험(진료/투약/검사/회진)_긍정','주차_부정']",
228,가톨릭병원에 오면  마음이 편합니다,[],['진료경험(진료/투약/검사/회진)_긍정']
234,일단 간호사님이 친절하시고 알뜰하게챙겨주시어 만족하였습니다.<BR/>기간이짧아서 다른것은 생각이안납니다.,['간호사_긍정'],
239,"안내에서 진료까지 직원분들의 친절도에
너무 감사하게 생각 합니다.

항상 귀사의 병원에가면 의료진을 비롯한
간호사분들의 믿음이 갑니다.

추천교수 ㅡ 서연석교수님.임기정교수님
간호사 ㅡ 소화기내과 
                 초음파실에 근무하는 간호사님","['의사_긍정','간호사_긍정','직원_긍정']",
245,"아파서 응급실에했 갔는데 기다림없이 바로바로 검진 및 조치가 진행되었고,
응급실이 번잡하지 않아서 안정을 취하는데 많은 도움이 되었음.",['병원시스템_긍정'],['대기시간_긍정']
249,모든분들이친절하셨습니다,['진료경험(진료/투약/검사/회진)_긍정'],
251,"담당교수가 적극적이고 설명이 자상함
명성에비해 겸손함",['의사_부정'],['의사_긍정']
253,"의료진의 적극적 치료의지, 알기쉬운 설명이 좋았습니다.",['의사_긍정'],
257,감사합니다,['진료경험(진료/투약/검사/회진)_긍정'],
265,좋은 점이 없었음,['진료경험(진료/투약/검사/회진)_부정'],[]
271,의사도.진철하고.코디부터간호사까지모두친절합니다.71동수간호사는.간호들에게.좀한부로대하는느낌.,"['의사_긍정','간호사_긍정','직원_긍정','의사_부정']",
272,쾌적한 검진 환경,['시설/환경_긍정'],
282,친절하고 서비스가좋았습니다,['진료경험(진료/투약/검사/회진)_긍정'],
284,직원들의 친절함,"['직원_부정','직원_긍정']",['직원_긍정']
302,모두 다,['진료경험(진료/투약/검사/회진)_긍정'],
316,ㆍ,[],
317,빠른 일처리와 친절한 설명,"['진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정']",
319,"안성재 교수님  여지껏 알지 못했던  저의  병이나 관리에
대해 쉽고  간단히  설명해  주셔서 감동을 받았읍니다
그리고 성함은 모르나  20년간이나  저를 안내 해주셨던
병원에 도착하면 접수하시는  두분의  깊은  정성에  감사드립니다 고대 안암병원에서  생명을 구해  항상 감사합니다","['의사_긍정','직원_긍정']",
323,친절하고 가족같은느낌,['진료경험(진료/투약/검사/회진)_긍정'],
327,.,[],
329,"간호사 친절한 설명 그치만 원무과. 접수 수납이 넘
길어서 아주 불편해 요","['직원_부정','간호사_긍정']","['대기시간_부정','간호사_긍정']"
331,의료진께서 환자의 처지를 공감해 주셨습니다,"['의사_긍정','간호사_긍정']",
335,진료대기 처음에는 다음환자 안내를 안하셨는데 대기 4번째까지 불러주셔서 기다림이 짤아진거 같아 좋았습니다,['대기시간_부정'],['대기시간_긍정']
337,지하철 내리면 가까워서 좋았어요,['시설/환경_긍정'],
339,"주차요원분들 정말 친절하십니다.
그냥 외운 메뉴얼이 아닙니다.
제일 처음만나는 반가운인사가 , 환자에게 큰힘이됩니다.

약국 가는길, 횡단보도 요원분들
정말 열심히 하십니다.
고맙습니다.",['직원_긍정'],
341,친절,['진료경험(진료/투약/검사/회진)_긍정'],
342,"친절
고맙습니다",['진료경험(진료/투약/검사/회진)_긍정'],
348,없다,[],
349,처음이용하였음에도아주친근사게대해주셨고진료진행증상을잘설명하였주셨어아주편안한맘으로잘진료를받았습니다~다바쁘신과정에도환자를웃으면서친절하였습니다~의료진에노고에항상깊은감사를드립니다~^^감사드립니다,"['의사_긍정','진료경험(진료/투약/검사/회진)_긍정','간호사_긍정']",
357,"좋은점을 말하기까지는 없습니다...
",['병원시스템_부정'],[]
373,간호사 선생님들이 무척이나 친절히 잘 대해 주셔서 편했습니다.,['간호사_긍정'],
393,장염 설사로 대변을 채취해야하는데 소변컵과 대변컵만 주면 어떻게 받을 수 있을까요? 복통과 어지러움에 아픈 상황에도 소변은 좌변기에서 그나마 받을수 있었으나 대변은 채취키트라도 있어야할것 같습니다. 치료에 힘써주셔서 감사합니다,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']","['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']"
399,보편적으로 편안했읍다,['시설/환경_긍정'],
402,너무  영업적인  대화라는 생각이 들었다,['진료경험(진료/투약/검사/회진)_부정'],
411,"의사분들이 친절하고 
입원해 있는동안  간호사분들이 잘해주셧다.","['의사_긍정','간호사_긍정']",
420,직원분들 담당교수님 간호사님 모두친절하게 대하셔서<BR/>감사합니다. 검사  수술 치료가많이남았은대 잘~부탁드립니다.수고하세요~,"['의사_긍정','간호사_긍정','직원_긍정']",
427,모두가상냥하고친절하고배려하는마음모두가고마웠읍니다,['진료경험(진료/투약/검사/회진)_부정'],
429,"꼭필요한곳입니다,제게는",[],
433,안   성규  윈장님  간호사   잘대헤쥐서좋았습니다  ,"['의사_긍정','간호사_긍정']",
435,집근처에위치한대학병원이라서,['시설/환경_긍정'],
438,진료의 질 향상을 위욱 더욱 노력해 주었으면 좋겠습니다.,['진료경험(진료/투약/검사/회진)_부정'],
450,신속한 환자 대응 처리에 대해 만족합니다 ,"['진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정']",
456,특별히   좋은점  ? 특별히   나쁜점 ? 잘 모르겠음,['진료경험(진료/투약/검사/회진)_부정'],[]
458,피부관리사분 자세히 설명해주시고 피부타입 맞게 선택 도와주셔서 넘 감사합니다,['직원_긍정'],
460,"모든진료를 을지병원에서 받아왔음,",['진료경험(진료/투약/검사/회진)_긍정'],
461,"깨끗하고,친절하고,다정해서좋았고^^
<환자식사>
ㅡ반찬조리,간마춤,가열 등 너무 엉망
ㅡ밥은매끼니마다퍼슬하고식은밥였음
찬이맛없어도밥이맛지면찬없어도먹을것을~
환우들의건강식에신경써주셨으면좋겠다는
생각입니다.

몇몇지인들도병원밥이엉망이라는평을들었기에
올려봅니다.

수고하세요^^","['시설/환경_부정','시설/환경_긍정']",
465,"의사선생님이.... 전문성도 있으시고, 붙임성도 있으시고... 편안하였음.",['의사_긍정'],
467,"시설이 세련되고  청결하며
환자를  치료하는데  적절한  책임감이  있어보입니다","['시설/환경_긍정','병원시스템_긍정']","['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']"
469,"병원 위치 , 내부 시설 , 청결도 , 직원들의 태도 등등 어느하나 만족스럽지 않은 부분이 없습니다~ 
특히 칭찬하고 싶은 직원은 당연 “원장님” 입니다 ^^
환자의 이야기를 귀기울여 들어주시고 , 아주 친절하고 편하게 대해주셔서 상담맘 받아도 병이 다 낫는 기분이더라구요 ~~ 이제 아플땐 무조건 사하봄내과만 가려구요 ㅎㅎㅎ
","['의사_긍정','시설/환경_긍정','직원_긍정']",
471,"청주성모 소화기 내과 장상헌 과장님께서 친절하고 꼼꼼하게 대장위장내시경잘해주시고 말씀 도 자상하게잘해주셔서 너무고맙고감사합니다~^^ 선생님간호사님도늘건강하세요~
^^♡
청주성모 병윈
모든검사진료모든것다좋습니다 
","['의사_긍정','간호사_긍정']",
473,직원들모두 적극적으로 대해줘서 감사했습니다 갑자기 갔지만 환경이 좋았습니다 의료진도 아주 친절하게 설명해 주시고 치료를 잘해주셨습니다 감사합니다,"['의사_긍정','시설/환경_긍정','간호사_긍정','직원_긍정']",
475,"주차타워 관리하시는 아저씨가 업무가 서투신듯 
주차하러들어가려 기다리는데 출차하려는 차와 마주보고 대치하는 상황 연출 시간이 오분이삿 지체되어
 들어가도 되는 줄알고 직진해서 들어가니 제지를 하고 차를 돌려라해서 돌리니 후진해서 차빼라하고 안경낀 아저씨였는데 상당시간 소요되고 불편했음
이후 나보다 늦게온 차량이 먼저 입고됨 내차는 직접 주차해주셨지만 키를 받아가고 싶었지만 늦게 주차해주셔서 못받아감 일처리가 많이 미흡해서 불편함","['직원_부정','주차_부정']",['직원_부정']
479,간호사  선생님  들과  의사 선생님의  배려와  친절함~~,"['의사_긍정','간호사_긍정']",
481,이비인후과 진료후 응급실에서 ct를 찍었는데 늦은시간이었음에도 교수님 직접 내려와주셔서 친절히 설명해주셨습니다,['의사_긍정'],
483,기다림이  적고  친철하다,[],"['대기시간_긍정','진료경험(진료/투약/검사/회진)_긍정']"
484,"3층 보호자 대기실 의자가 너무 불편해요. 신랑이랑 같이 내원할 때 신랑이 3층에서 짧게는 30분, 채취할 때는 길게는 3시간 이상 기다리는데 3층 보호자 대기실 의자는 편하지도 않고 뒤로 기댈 수도 없어 불편하고 잠깐 눈부치는 것도 어렵다며 허리가 아파서 차라리 차에서 기다리는게 낫다고 하더라구요.. 리클라이너 소파나, 머리까지 기댈 수 있는 소파가 몇개는 필요할 것 같습니다",['시설/환경_부정'],
486,매우  만족하지 않습니다,['진료경험(진료/투약/검사/회진)_부정'],
494,친절하시구. 많이기다리지 않는점이 매우 만족합니다 감사합니다,['진료경험(진료/투약/검사/회진)_긍정'],"['진료경험(진료/투약/검사/회진)_긍정','대기시간_긍정']"
496,편안합니당,['시설/환경_긍정'],
500,깨끗한 환경에 친절한 진료 송석균선생님의 자세한  설명과 안내에 감동했어요. 감사합니다,"['의사_긍정','시설/환경_긍정']",
502,의료진들이 친절하였다,"['의사_긍정','간호사_긍정']",
504,치료가 좋았습니다 입원실환경 OK,"['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']",
509,검사관계자 분들이 친절하시고 빠른 안내가 좋습니다,['직원_긍정'],
511,의사분들의 전문성과 친절함,['의사_긍정'],
513,"응급실 선생님들, 의사선생님께서 친절하셔서 좋았습니다","['의사_긍정','직원_긍정']",
517,친절 하다,['진료경험(진료/투약/검사/회진)_긍정'],
519,반찬이 너무맛없음불만족 적다히 해주면 좋겠음,['시설/환경_부정'],
521, 식단을 비교적 다양하게 주려는 것 같습니다.,['시설/환경_부정'],['시설/환경_긍정']
527,새 건물이라 너무 쾌적하고 좋았습니다 짧은대기도 좋았고 모든 선생님께서 친절하셔서 기분 좋았습니다 무엇보다도 이의묵 선생님 실력이 너무 좋아서 수도권에 살고있음에도 선생님께 진료받으러 다시 올거예요,"['의사_긍정','시설/환경_긍정']",
529,밥이넘 부실합니다..  ,['시설/환경_부정'],
535,당뇨환자로서육류를못먹는데 한끼에온통나오는반찬이온통두부네요 야채라고는안나오고양배추쌈전혀없고 너무성의가없네요계란국은비린데가너무심하고시락국은짥아서못먹겠고밥도현미라고는한톨없는밥이고 흰밥에조. 조금검정쌀몆알이다네요이게무슨당뇨밥인지 이해가안됩니다 생선나올때는비린대가나서못먹겠어요신경을좀쓰주세요,['시설/환경_부정'],
537,식사 시작할려는데 밥에서 머리카락이 나왔어요.,[],['시설/환경_부정']
541,밥 양이조금 많으며 고기반찬이 없습니다,['시설/환경_부정'],
551,밥에 비해서 반찬양이 조금 적은것같습니다,['시설/환경_부정'],
553,적을게 없네요 다만 배식하시는 분들이 친절하다는거,"['직원_부정','직원_긍정']",['직원_긍정']
559,...,[],
560,"2인실식사느나장늦게나온데다식판가지러오는시간이빨라불편하다,식사시간10분에서15분사이에식판을가지러온다식단조절이안되는듯,돌아가며나오는반찬이거의같다반찬이라도바꾸어나왔으면한다","['대기시간_부정','시설/환경_부정']",
562,..,[],
563,특별식이  아주 맘에 듭니다,['진료경험(진료/투약/검사/회진)_긍정'],['시설/환경_긍정']
567,께끗하고 맛있었다 ,['시설/환경_긍정'],
581,아쉽게도 좋았던은 없네요,['진료경험(진료/투약/검사/회진)_부정'],[]
585,"돼지고기 반찬은 냄새가 좀 났다
면 메뉴는   많이 불어서 나오니! 먹기힘들ㅇㆍㄱㅆ음",['시설/환경_부정'],
587,좋은거는찾을수가없어요,['병원시스템_부정'],[]
631,"아직도 코로나가 끝난것이 아닌데 병동 환자분들이 마스크  착용을 너무 안한다. 여자분들이 더 심각함.
병동 간호사분들이 주의를 주는지 의문.",['간호사_부정'],['병원시스템_부정']
639,신속하고 편안하게 치료해 주셨습니다♡,['진료경험(진료/투약/검사/회진)_긍정'],
643,응급실경비아저씨는매우질절해습니다,['직원_부정'],['직원_긍정']
647,의사쌤들이 너무도 친절하시고 한마디 한마디가 너무도 따뜻했습니다  불안한 마음을 진정시켜주셨고 설명도 너무 잘해주셔서 말도 잘 들어주셔서 감사했습니다   모두들 수고하세요^^,['의사_긍정'],
659,국 온도  따뜻했으면 ,['시설/환경_부정'],
679,"의사선생님 두 분 모두 친절하십니다. 가장 중요한 것이 선생님의 환자를 대하는 태도와 솔직하고 자세한 설명인데, 그 부분이 가장 만족스럽습니다. 

수납 직원분들과 초음파실 직원분께서 지난 번보다 많이
친절하게 응대해주셔서 감사했습니다. ","['의사_긍정','직원_긍정']",
681,원하는 검진을 편하고 빠르게 검진,['진료경험(진료/투약/검사/회진)_긍정'],
685,"의료진들의 친절함과 말 한마디가 환자들의 기분상태를 천국과 지옥을 왔다갔다하게 해 준다고 생각합니다.
김미성 선생님의 진료는 한마디로 천하 일품이라 생각 합니다. 청주성모병원의 무궁한 발전을 빕니다.","['의사_긍정','간호사_긍정']",
703,교수님의 자세하고 친절한 상담,['의사_긍정'],
711,친절하게 응대해 주셔서 감사드립니다.,['진료경험(진료/투약/검사/회진)_긍정'],
717,간호사님들이 환자와 공감을 해주시고 무척 친절하심.,['간호사_긍정'],
718,간호사   선생님이 친절하다,['간호사_긍정'],
721,빠른 응대에 감사했습니다,['진료경험(진료/투약/검사/회진)_긍정'],
723,간호사 선생님들이 친절해서 좋았습니다.<BR/>예전보다 더 친절해졌어요,['간호사_긍정'],
726,집근처에 대형병원이 있어 필요시  진료 받을 수 있어 좋다,['시설/환경_긍정'],
728,친절도가좋습니다,['진료경험(진료/투약/검사/회진)_긍정'],
730,담당의사의 막말 및 강제퇴원 협박으로인한 불쾌감<BR/>,['의사_부정'],
731,특별히 없다,['병원시스템_부정'],[]
732,깔끔하고 양이 적당함,['시설/환경_긍정'],
736,"이주성 교수님, 오나원 주치의 선생님 친절하고 자세하게 설명해주시고 아기도 너무 예뻐해주셔서 감사했습니다 덕분에 빨리 나아서 퇴원할 수 있었어요!",['의사_긍정'],
750,입원시  마다  느끼는  소감  입니다<BR/><BR/>환자는 진단도 중요하지만  진단받은 후 치료과정에서 참여하여  빠른  회복을 소망하며  기대감으로  시간을 보냅니다<BR/><BR/>진단받은 질병에 대한 운동요법  및 주의사항 등등에 대한   상세한  맞춤형 안내문이 없어서 놀라울  뿐입니다.<BR/>강동성심병원이 성장하기위해서는  구태의연한 환자 진료 서비스가아닌  보다 구체적이고 미래지향적인 고객의 욕구를  파악하여 먼저 선행 하여야 할  것  입니다<BR/>,['진료경험(진료/투약/검사/회진)_부정'],['병원시스템_부정']
751,간호사님들이 친절해게  대해주셔서 감사하고  화장실에서 냄새가 심사게 나고  먼지알러지가있는데  먼지가있는지 제채기가 자꾸나고  새벽에 손씻는 세면데에서 자꾸혼자 물이틀어져서  무서웠습니다,['간호사_긍정'],"['간호사_긍정','시설/환경_부정']"
759,에어컨좀 조절해주세요..더워죽겠어요,['시설/환경_부정'],
781,요즘 다인실 병원이라도 개인 티비가 구비되어 있는 곳이 많은데 여기는 없어서 불편했네요 그리고 식사가 너무 맛이 없었네오 이런 불편함 빼면 친절하고 좋았네요,"['시설/환경_부정','진료경험(진료/투약/검사/회진)_긍정']",
783,없어요,[],
793,남성에대한 공포증 때문에 여자 의료진분들을 요청하자 응해주셔서 기쁩니다.,['의사_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
803,가장 믿을만한 병원,[],['진료경험(진료/투약/검사/회진)_부정']
809,"7.1 저녁 소아 응급실을 방문했었는데 계신 간호사 담당 의사분들 모두 친절하고 재빨리 조치해주셨습니다.
감사합니다","['의사_긍정','간호사_긍정']",
817,짱좋음,['시설/환경_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
819,친절했다,['진료경험(진료/투약/검사/회진)_긍정'],
821,"담당간호사님포함
의사선생님 따듯하고자세하게  설명해주시고
항상미소로
대해주셨습니다.^^","['의사_긍정','간호사_긍정']",
822,응급실에서 너무 신속하고 친절하데 진료해주셔서 감사합니다. ,['진료경험(진료/투약/검사/회진)_긍정'],
832,업무 파트별로 친절한 설명괴 안내에 감사드립니다,['진료경험(진료/투약/검사/회진)_긍정'],
833,빠른 진료,['진료경험(진료/투약/검사/회진)_긍정'],
842,소아과 응급 봐주셔서 정말 감사드리고 힘드시겠지만 꼭 지켜주세요!!!ㅜㅠ 저는 심각한 일로 간건아니었지만 감사드리고 또 감사드립니다,[],
845,좋았습니다,['시설/환경_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
847,담당의사선생님 간호사선생님 너무 친절하게대해주셨습니다,"['의사_긍정','간호사_긍정']",
849,복잡하지않고  빨리 진료받을수있었다,['진료경험(진료/투약/검사/회진)_긍정'],
851,접근성 때문에,['시설/환경_부정'],['시설/환경_긍정']
857,신속하고 편안하게 대응해주셔서 좋아습니다,['진료경험(진료/투약/검사/회진)_긍정'],
861,친절과 대처가빠름,['진료경험(진료/투약/검사/회진)_부정'],['진료경험(진료/투약/검사/회진)_긍정']
866,가봤던 응급실 중에 가장 빠른 진료를 받을 수 있었음,['진료경험(진료/투약/검사/회진)_긍정'],
867,"소아응급 교수님이 계셔서 너무 든든해요

",['의사_긍정'],
873,응급우선이여두 넘 최악 방치수준 높음,['진료경험(진료/투약/검사/회진)_부정'],
879,환자를 위해주십니다.,['진료경험(진료/투약/검사/회진)_긍정'],
883,"채혈대기시간이 20분이상 소요되어 불편함
종사직원을 확충하여 주시면 좋겠습니다",['대기시간_부정'],
887,"병원 시설 노후화 가 가징 문제인듯 싶습니다
주차 문제도 포함이요","['시설/환경_부정','주차_부정']",
891,"고기.반찬경우
양념및
맛이저혀없었다
다양한반찬을원합니다","['병원시스템_부정','주차_부정']",['시설/환경_부정']
893,"진료 접수 자체로 감사
친절한 의료 서비스, 상세한 설명",['진료경험(진료/투약/검사/회진)_긍정'],
901,친절한 안내,['진료경험(진료/투약/검사/회진)_긍정'],
905,담당간호사들이 친철하게 잘 챙겨주시고 문제가 생겼을때 빠르게 의사쌤 오셔서 잘 대처 한거같습니다,"['의사_긍정','간호사_긍정']",
909,간호사 선생님들 의사선생님들 모두 친절하셔서 있는동안 편하게 있다가 왔습니다. ,"['의사_긍정','간호사_긍정']",
915,"친절하고   배려받는느낌이 좋고 쾌적한 환경이 
좋습니다","['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']",
919,우선 접수 간호사 의사분들 유방촬영 해주셨던 분까지 모두가 너무 친절해서 첫 방문이지만 편안한 병원 방문 이었습니다. 의사 선생님도 멀리서 오셨다고 초음파 검사도 신경써서 빠르게 받으실수 있게 조치 해주셔서 감동이었어요 제가 다녀본 대학 병원중 서비스 마인드나 교육이 굉장히 잘 되어 있는것 같습니다.,"['의사_긍정','간호사_긍정','직원_긍정']",
921,"병원이 쾌적하고 사용하기 편리했습니다. <BR/>면회객의 제한을 둔 것이 좋았습니다. <BR/>의료진들의 친절과 항상 자세히 설명해주셔서<BR/>감사했습니다. <BR/>그래서인지 진료 볼 때마다<BR/>대기시간이 좀 길긴 했지만,<BR/>이해할 수 있었습니다.","['의사_긍정','시설/환경_긍정','간호사_긍정']","['의사_긍정','시설/환경_긍정','간호사_긍정','병원시스템_긍정']"
926,담당 의사샘이 질환에 대한 정확한 안내와 치료방향ㆍ주의사항 등을 상세히 얘기해주시고 환자의 입장에서 위로와 격려 자신감을 갖게 해주셔서 큰 도움이 되었습니다^^,['의사_긍정'],
928,원무과선생님께서 매우 친절하셔서 기분이좋았습니다,['직원_긍정'],
929,예약시간 엄수,['대기시간_부정'],
930,집에서 가깝고 시설이 깨끗했다,['시설/환경_긍정'],
935,"친절
실력","['진료경험(진료/투약/검사/회진)_긍정','진료경험(진료/투약/검사/회진)_부정']",['진료경험(진료/투약/검사/회진)_긍정']
937,친절하게 설명해주셔서 좋았습니다.,['진료경험(진료/투약/검사/회진)_긍정'],
953,"아무리생각해도 없음
굳이 말하면 자유로운 내원",[],
